HAUL ID,Year,Date,Sea,Ices division,Predator Latin name,Predator common name,Pooled,Mean length of predator,Prey Latin name,Prey common name,Prey group,Predator ID,Number of stomachs,Prey Length,Minimum number
HUXLEY-1903-XVIII-23,1903,20/08/1903,North Sea,IVc,RAJA BRACHYURA,BLONDE RAY,y,39.5,AMMODYTES SPP,SANDEELS,Teleost,HUXLEY-1903-XVIII-23\BLR-1,1,,4
OITHONA-1901-A2,1901,15/03/1905,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,,AMMODYTES SPP,SANDEELS,Teleost,OITHONA-1901-A2\BLR-1,8,,6
PLATESSA-07-1965-36,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,AMMODYTES SPP,SANDEELS,Teleost,PLATESSA-07-1965-36\BLR-1,1,,1
CLION11-83-20,1983,14/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,49,AMMODYTES SPP,SANDEELS,Teleost,CLION11-83-20\BLR-1,1,7,4
CLION11-83-35,1983,17/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,54,AMMODYTES SPP,SANDEELS,Teleost,CLION11-83-35\BLR-1,1,9,3
CLION11-83-35,1983,17/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,55,AMMODYTES SPP,SANDEELS,Teleost,CLION11-83-35\BLR-2,1,,5
CLION11-83-35,1983,17/09/1983,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,61,AMMODYTES SPP,SANDEELS,Teleost,CLION11-83-35\BLR-3,1,,11
PLATESSA-07-1965-1,1965,22/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-1\BLR-2,1,,1
PLATESSA-07-1965-36,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-36\BLR-1,1,,1
PLATESSA-07-1965-37,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,21,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-37\BLR-1,1,,1
PLATESSA-07-1965-37,1965,23/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,20,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-37\BLR-2,1,,1
PLATESSA-07-1965-41,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,21,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-41\BLR-1,1,,1
PLATESSA-07-1965-42,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,24,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-42\BLR-1,1,,1
CLARK-1921-S1,1921,1/3/1921,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,34.7,AMPHIPODA,AMPHIPODA,Amphipod,CLARK-1921-S1/BLR-1,27,,16
PLATESSA-07-1965-42,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-42\BLR-2,1,,1
PLATESSA-07-1965-44,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,22,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-44\BLR-1,1,,1
PLATESSA-07-1965-46,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,21,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-46\BLR-1,1,,1
PLATESSA-07-1965-51,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,21,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-51\BLR-1,1,,1
PLATESSA-07-1965-51,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,21,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-51\BLR-2,1,,1
PLATESSA-07-1965-51,1965,24/05/1965,Irish Sea,VIIa,RAJA BRACHYURA,BLONDE RAY,n,24,AMPHIPODA,AMPHIPODA,Amphipod,PLATESSA-07-1965-51\BLR-3,1,,1
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,24.5,AMPHIPODA,AMPHIPODA,Amphipod,SALPA-1928-S4/BLR-1,4,,3
SALPA-1929-S4,1929,16/06/1929,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,24.5,AMPHIPODA,AMPHIPODA,Amphipod,SALPA-1929-S4/BLR-1,4,,2
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,44.5,AMPHIPODA,AMPHIPODA,Amphipod,SALPA-1928-S4/BLR-3,5,,1
SALPA-1928-S4,1928,16/12/1928,Channel,VIIe,RAJA BRACHYURA,BLONDE RAY,y,54.5,AMPHIPODA,AMPHIPODA,Amphipod,SALPA-1928-S4/BLR-4,3,,2
