Year,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1967,17.07,20.16,23.86,27.68,31.09,35.07,39.18,42.72,45.82,49.48,50.48,56.48,56.96
1968,17.77,21.21,25.9,29.18,32.03,35.46,38.98,42.52,45.73,49.11,49.77,52.59,54.31
1969,18.18,21.88,27.23,30.51,33.93,36.42,39.58,43.32,46.32,50.01,50.69,51.02,53.69
1970,18.3,22.06,27.4,31.31,35.92,38.3,41.72,45.73,47.83,53.3,54.55,53.38,55.44
1971,18.38,22.17,27.13,32.18,37.72,41.27,45.21,49.46,50.74,58.32,60.67,59.68,60.17
1972,18.63,22.58,27.27,33.27,39.41,44.62,48.89,53.28,55,62.06,65.12,66.35,65.03
1973,19.26,23.43,28.27,34.54,40.85,47.02,51.93,56.56,59.37,63.97,66.76,70.95,68.06
1974,20.27,24.56,29.39,35.66,42.02,48.4,54.14,59,62.51,65.37,67.75,73.38,70.11
1975,21.05,25.4,30.14,36.42,43.06,49.39,55.53,60.42,64.26,66.81,69.09,73.81,71.84
1976,21.29,25.66,30.73,36.98,43.95,50.31,56.76,61.71,65.79,69.22,71.43,74.28,73.93
1977,20.95,25.66,31.08,37.21,44.39,51.1,58.06,63.47,67.66,72.99,75.69,76.28,77.92
1978,19.86,25.21,31.02,37.16,44.44,51.41,58.64,64.63,68.85,75.91,80.72,79.72,83.51
1979,18.55,24.06,30.21,36.58,44.05,51.17,58.53,64.81,69.06,76.58,84.98,83.55,89.04
1980,17.82,23.09,28.9,35.53,43.36,50.59,58.3,64.36,68.73,76.25,88.04,87.74,94.16
1981,17.66,22.78,28.14,34.97,43.01,50.18,58.26,63.66,68.2,75.58,89.85,93.71,97.63
1982,17.65,22.76,28.02,34.93,43.01,50.1,58.32,63.35,67.95,74.59,91.04,100.82,98.62
