Day,LeafArea,Stage
1,0.42364532,early
1,0.502463054,early
1,0.81773399,early
1,0.896551724,early
1,1.093596059,early
1,1.290640394,early
1,1.527093596,early
1,1.684729064,early
1,1.802955665,early
1,2,early
2,0.896551724,early
2,1.093596059,early
2,1.448275862,early
2,1.527093596,early
2,1.645320197,early
2,1.802955665,early
2,2.039408867,early
2,2.275862069,early
2,2.354679803,early
2,2.472906404,early
2,2.709359606,early
2,2.78817734,early
2,2.906403941,early
2,2.985221675,early
3,1.290640394,early
3,1.802955665,early
3,2.315270936,early
3,2.433497537,early
3,2.512315271,early
3,2.866995074,early
3,2.985221675,early
3,3.142857143,early
3,3.300492611,early
3,3.418719212,early
3,3.497536946,early
3,3.655172414,early
3,3.733990148,early
3,4.049261084,early
3,4.285714286,early
4,2,early
4,2.669950739,early
4,2.985221675,early
4,3.103448276,early
4,3.18226601,early
4,3.300492611,early
4,3.339901478,early
4,3.655172414,early
4,3.931034483,early
4,4.049261084,early
4,4.128078818,early
4,4.246305419,early
4,4.36453202,early
4,4.443349754,early
4,4.561576355,early
4,4.640394089,early
4,5.034482759,early
4,5.192118227,early
4,5.704433498,early
5,2.906403941,early
5,3.773399015,early
5,3.931034483,early
5,4.049261084,early
5,4.285714286,early
5,4.36453202,early
5,4.679802956,early
5,5.034482759,early
5,5.192118227,early
5,5.349753695,early
5,5.467980296,early
5,5.586206897,early
5,5.862068966,early
5,5.980295567,early
5,6.0591133,early
5,6.177339901,early
5,7.004926108,early
5,7.556650246,early
5,7.63546798,early
6,3.852216749,early
6,4.640394089,early
6,4.837438424,early
6,4.916256158,early
6,5.073891626,early
6,5.15270936,early
6,5.270935961,early
6,5.349753695,early
6,5.665024631,early
6,5.783251232,early
6,5.862068966,early
6,6.216748768,early
6,6.295566502,early
6,6.45320197,early
6,6.610837438,early
6,6.689655172,early
6,6.926108374,early
6,7.044334975,early
6,7.162561576,early
6,7.63546798,early
6,8.344827586,early
6,8.896551724,early
7,5.270935961,early
7,5.428571429,early
7,5.625615764,early
7,5.822660099,early
7,5.901477833,early
7,5.980295567,early
7,6.177339901,early
7,6.256157635,early
7,6.413793103,early
7,6.492610837,early
7,6.729064039,early
7,6.84729064,early
7,6.965517241,early
7,7.083743842,early
7,7.162561576,early
7,7.280788177,early
7,7.517241379,early
7,7.990147783,early
7,8.068965517,early
7,8.187192118,early
7,8.305418719,early
7,8.384236453,early
7,9.014778325,early
7,8.857142857,early
7,9.251231527,early
7,9.487684729,early
8,5.54679803,early
8,6.019704433,early
8,6.177339901,early
8,6.256157635,early
8,6.334975369,early
8,6.45320197,early
8,6.650246305,early
8,6.84729064,early
8,7.004926108,early
8,7.083743842,early
8,7.280788177,early
8,7.399014778,early
8,7.517241379,early
8,7.911330049,early
8,7.950738916,early
8,8.187192118,early
8,8.384236453,early
8,8.620689655,early
8,8.896551724,early
8,8.975369458,early
8,9.21182266,early
8,9.60591133,early
8,10.3546798,early
9,6.137931034,early
9,6.374384236,early
9,6.45320197,early
9,6.571428571,early
9,6.610837438,early
9,6.768472906,early
9,6.84729064,early
9,6.965517241,early
9,7.24137931,early
9,7.320197044,early
9,7.399014778,early
9,7.674876847,early
9,7.871921182,early
9,8.02955665,early
9,8.108374384,early
9,8.187192118,early
9,8.266009852,early
9,8.502463054,early
9,8.620689655,early
9,8.738916256,early
9,8.857142857,early
9,9.014778325,early
9,9.330049261,early
9,9.881773399,early
10,6.137931034,early
10,6.216748768,early
10,6.334975369,early
10,6.689655172,early
10,6.729064039,early
10,6.84729064,early
10,6.926108374,early
10,7.123152709,early
10,7.438423645,early
10,7.674876847,early
10,7.832512315,early
10,7.911330049,early
10,8.108374384,early
10,8.187192118,early
10,8.305418719,early
10,8.463054187,early
10,8.620689655,early
10,8.699507389,early
10,8.857142857,early
10,9.054187192,early
10,9.133004926,early
10,9.290640394,early
11,5.822660099,early
11,6.413793103,early
11,6.45320197,early
11,6.768472906,early
11,6.965517241,early
11,7.004926108,early
11,7.280788177,early
11,7.63546798,early
11,7.793103448,early
11,7.871921182,early
11,8.02955665,early
11,8.226600985,early
11,8.266009852,early
11,8.502463054,early
11,8.660098522,early
11,8.738916256,early
11,9.133004926,early
11,9.330049261,early
11,9.369458128,early
11,9.724137931,early
12,6.256157635,early
12,6.650246305,early
12,6.729064039,early
12,6.965517241,early
12,7.162561576,early
12,7.24137931,early
12,7.477832512,early
12,7.714285714,early
12,8.02955665,early
12,8.147783251,early
12,8.384236453,early
12,8.896551724,early
12,9.684729064,early
12,10.27586207,early
13,6.256157635,early
13,6.45320197,early
13,6.807881773,early
13,6.926108374,early
13,7.004926108,early
13,7.162561576,early
13,7.24137931,early
13,7.359605911,early
13,7.517241379,early
13,8.02955665,early
13,8.226600985,early
13,8.581280788,early
